2025-03-25 19:19:57 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:23:19 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Excursie - findAll
2025-03-25 19:23:25 [JavaFX Application Thread] INFO  org.example.infrastructure.AngajatRepository - Angajat - findByUsername: Mihai
2025-03-25 19:23:25 [JavaFX Application Thread] INFO  org.example.infrastructure.RezervareRepository - Rezervare - findAll
2025-03-25 19:23:34 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:23:34 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:23:47 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Germania - Tabita - 700 - 2025-07-21T10:00
2025-03-25 19:23:47 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Germania - Tabita - 700 - 2025-07-21T10:00
2025-03-25 19:23:56 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Italia - Wizz - 1000 - 2025-09-14T21:00
2025-03-25 19:23:56 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Italia - Wizz - 1000 - 2025-09-14T21:00
2025-03-25 19:28:25 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Excursie - findAll
2025-03-25 19:28:34 [JavaFX Application Thread] INFO  org.example.infrastructure.AngajatRepository - Angajat - findByUsername: Mihai
2025-03-25 19:28:34 [JavaFX Application Thread] INFO  org.example.infrastructure.RezervareRepository - Rezervare - findAll
2025-03-25 19:28:46 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:28:46 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:28:46 [JavaFX Application Thread] INFO  org.example.infrastructure.RezervareRepository - Rezervare - save: org.example.domain.Rezervare@c268d2c
2025-03-25 19:28:46 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Excursie - update: Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:28:46 [JavaFX Application Thread] INFO  org.example.infrastructure.RezervareRepository - Rezervare - findAll
2025-03-25 19:28:56 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
2025-03-25 19:28:56 [JavaFX Application Thread] INFO  org.example.infrastructure.ExcursieRepository - Checking number of places for Delta Dunarii - III-haaa trans - 600 - 2025-08-22T15:01:53.601334
